UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Failure_Type,Temp_Diff,Power_W,Tool_Wear_Speed_Ratio
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,No Failure,10.299999999999955,6660.574360679816,0.05698401628225145
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,No Failure,10.399999999999977,5336.445417069278,0.04961606586168892
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,No Failure,10.399999999999977,6758.592051471817,0.06422703462115732
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,No Failure,10.399999999999977,4801.296052481281,0.04949944355117106
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,No Failure,10.399999999999977,7177.251160464705,0.06412966832889593
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,No Failure,10.400000000000034,5666.647748912589,0.05585585552038525
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,No Failure,10.300000000000011,5665.056008634771,0.060936497364102005
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,No Failure,10.399999999999977,7389.7799034800555,0.06749311248282981
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,No Failure,10.300000000000011,6076.122935381482,0.0638836175592434
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,No Failure,10.300000000000011,5907.115722593864,0.07227241089456282
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,No Failure,10.300000000000011,7321.51309511755,0.07686729458399351
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,No Failure,10.300000000000011,7422.0126441058865,0.08222222161316874
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,No Failure,10.300000000000011,6475.325113873137,0.08296622552888235
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,No Failure,10.300000000000011,7277.436550187683,0.08406432687087481
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,No Failure,10.300000000000011,7033.900287681403,0.08552631516428133
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,No Failure,10.399999999999977,6968.2619451723995,0.08746355621382247
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,No Failure,10.300000000000011,7322.00527796661,0.08491847768397773
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,No Failure,10.300000000000011,7656.050824822813,0.08596373347237252
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,No Failure,10.300000000000011,4979.36152408675,0.07053716727869144
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,No Failure,10.300000000000011,6875.20797077307,0.09379407550215743
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,No Failure,10.399999999999977,8043.262591353267,0.09473684144044323
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,No Failure,10.300000000000011,6520.815375497118,0.09915014094086302
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,PWF,10.200000000000045,1378.1748092277942,0.049982523418446265
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,No Failure,10.200000000000045,7951.02543104387,0.10484454009512263
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,No Failure,10.199999999999989,6866.327735538923,0.09819639212961662
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,No Failure,10.300000000000011,5752.413228355591,0.09712460001837317
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,No Failure,10.300000000000011,5330.141287811075,0.09107037202205576
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,No Failure,10.300000000000011,6444.286178455671,0.10317460249223147
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,No Failure,10.300000000000011,6558.053720417668,0.10697359440099123
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,No Failure,10.300000000000011,6385.171876690622,0.1057501645356896
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,No Failure,10.199999999999989,5131.215640985769,0.09753160687819623
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,No Failure,10.300000000000011,7850.127946986078,0.11973875094529209
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,No Failure,10.300000000000011,7673.004953176686,0.11988513912501696
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,No Failure,10.199999999999989,6368.469075749038,0.10615577822766471
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,No Failure,10.199999999999989,4386.092695407341,0.09404045875319596
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,No Failure,10.100000000000023,4914.581883569728,0.09602648953627765
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,No Failure,10.100000000000023,6156.244020023535,0.1162179900445306
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,No Failure,10.100000000000023,6583.668172519938,0.12840745962404979
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,No Failure,10.0,5046.162255877581,0.10780226260987337
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,No Failure,10.099999999999966,6770.195000339076,0.12551159532393183
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,No Failure,10.099999999999966,5180.988940594142,0.12377210135054288
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,OSF,10.100000000000023,9700.923955019922,0.13546099194708516
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,No Failure,10.100000000000023,4553.4662800150945,0.10031184979047895
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,No Failure,10.200000000000045,6918.415341735443,0.13498622496565962
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,No Failure,10.200000000000045,6365.243707291352,0.14463111654761784
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,No Failure,10.100000000000023,5834.984755267443,0.12562813991439611
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,No Failure,10.100000000000023,5415.299392674381,0.12617114224752565
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,No Failure,10.099999999999966,6743.878925877506,0.14793328391636487
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,No Failure,10.099999999999966,7328.487430808518,0.1409993145722155
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,TWF,10.099999999999966,6292.767164773035,0.14295532547797027
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,No Failure,10.099999999999966,7539.508209350145,0.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,No Failure,10.099999999999966,5564.367964087218,0.0014265335133628139
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,No Failure,10.0,7550.870302780627,0.0027681660708085394
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,No Failure,10.0,7212.573133866567,0.0062068965089179555
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,No Failure,10.0,6208.038410905718,0.007570543650581255
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,No Failure,10.0,6168.716142858287,0.008849557461881841
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,No Failure,10.0,7088.187008735435,0.01054852313257016
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,No Failure,10.0,5062.906944721215,0.009423503273705636
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,No Failure,10.0,6601.575250645399,0.013927576504682616
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,No Failure,10.0,5141.656200571199,0.016191709739690998
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,No Failure,10.0,6716.599429668835,0.019027484009672416
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,No Failure,10.0,6150.871896585895,0.020174848552959996
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,No Failure,10.0,4736.2022526989,0.018824871541215794
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,No Failure,10.0,4771.765081537536,0.01912568295559736
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,No Failure,10.0,4901.06256318378,0.0214244353131185
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,No Failure,9.899999999999977,6529.276731710787,0.027586206706302022
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,No Failure,9.899999999999977,5418.388625450411,0.02589395791680667
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,No Failure,10.0,7385.06751449967,0.03256846756055909
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,No Failure,10.0,5822.156585265283,0.029841269651801464
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,No Failure,10.0,5479.4611866361965,0.028571428408163266
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,No Failure,9.900000000000034,5235.809732399285,0.03466317832136574
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,No Failure,10.0,7081.275504897538,0.0361129347595999
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,No Failure,10.099999999999966,4848.524662040247,0.030777537630790833
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,No Failure,10.0,4315.888571575122,0.029633349926502513
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,No Failure,10.0,6611.272299969481,0.0392282955676637
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,No Failure,10.0,6111.4972686609035,0.04371963883608856
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,No Failure,9.899999999999977,6590.01418968019,0.04551724106539834
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,No Failure,9.899999999999977,5181.543955296277,0.042740414564799406
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,No Failure,9.899999999999977,7339.022238173556,0.04844290623914944
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,No Failure,10.0,7336.624155781315,0.04809619206348569
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,No Failure,9.900000000000034,5550.84864370127,0.04626773568002631
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,No Failure,9.800000000000011,5613.523417140386,0.050890584917998825
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,No Failure,9.800000000000011,4410.79608564007,0.043803418569426184
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,No Failure,9.900000000000034,6828.408712210095,0.05603735786499428
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,No Failure,9.899999999999977,6196.3726301853885,0.05941254967014319
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,No Failure,9.800000000000011,6520.208000917424,0.061911170512037886
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,No Failure,9.800000000000011,5172.318144870235,0.05654761871102608
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,No Failure,9.800000000000011,6848.3264096338535,0.06778476542428535
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,No Failure,9.800000000000011,5584.955867943742,0.06329923233184634
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,No Failure,9.800000000000011,5525.747318399087,0.06316447740359926
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,No Failure,9.800000000000011,5023.0610778981845,0.06033977703374472
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,No Failure,9.800000000000011,6252.491946954015,0.07225630489259506
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,No Failure,9.800000000000011,6707.834386165318,0.0753663637448265
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,No Failure,9.800000000000011,6721.919193228912,0.07060333715915701
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,No Failure,9.800000000000011,6955.171975782442,0.08549618255346425
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,No Failure,9.800000000000011,7026.31857741074,0.07373867998875369
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,No Failure,9.800000000000011,5317.0199024945805,0.06716849990058772
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,No Failure,9.700000000000045,5260.28273917075,0.07564102515614728
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,No Failure,9.600000000000023,8419.939550518684,0.090293453045196
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,No Failure,9.700000000000045,6880.559150259685,0.0863411175772037
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,No Failure,9.600000000000023,6414.9437030711415,0.07813484512832486
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,No Failure,9.600000000000023,5599.75276934215,0.08082103860923003
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,No Failure,9.599999999999966,6339.765390870739,0.08689748752954862
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,No Failure,9.599999999999966,5038.580545606917,0.07484168062843016
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,No Failure,9.699999999999989,6518.930419904964,0.09160305279942364
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,No Failure,9.699999999999989,7427.562791127228,0.09440559374541543
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,No Failure,9.599999999999966,7598.151272217154,0.10080350547258214
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,No Failure,9.699999999999989,5106.50177877753,0.08182349455392464
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,No Failure,9.800000000000011,6795.683788735201,0.100704224642928
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,No Failure,9.900000000000034,7510.930188177988,0.11410948254348896
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,No Failure,9.800000000000011,7495.902903318318,0.1035196680226386
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,No Failure,9.800000000000011,7409.383441638454,0.12223974667003355
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,No Failure,9.800000000000011,5712.158954487593,0.1039046981872621
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,No Failure,9.800000000000011,5691.393027047366,0.10297927394443476
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,No Failure,9.799999999999955,5250.606633797693,0.09055118059307547
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,No Failure,9.799999999999955,7440.705120394745,0.11656005603013464
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,No Failure,9.799999999999955,6176.203605349341,0.12149532622936501
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,No Failure,9.899999999999977,5323.61724706712,0.11368142687586631
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,No Failure,9.899999999999977,6093.977653629385,0.10794044598051833
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,No Failure,10.0,6361.882203152011,0.11815181440163819
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,No Failure,10.0,6931.61003088052,0.1312545313179512
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,No Failure,9.900000000000034,6154.662751721228,0.12491513832372615
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,No Failure,9.900000000000034,6358.52069901267,0.13080168684387
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,No Failure,9.800000000000011,5760.50806542634,0.1285030749931437
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,No Failure,9.800000000000011,6800.919776491184,0.12058080731956561
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,No Failure,9.800000000000011,5230.751768227005,0.10486486429802776
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,No Failure,9.800000000000011,5792.426646786813,0.12827225046942245
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,No Failure,9.800000000000011,4119.9474377707265,0.0996477096142541
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,No Failure,9.700000000000045,7201.577559579002,0.1357859522689903
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,No Failure,9.800000000000011,6732.747215908285,0.1393775362694348
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,No Failure,9.800000000000011,6278.996516974799,0.1407605060656404
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,No Failure,9.800000000000011,7240.009709707918,0.14547926481659235
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,OSF,9.800000000000011,8149.0190720486125,0.16848673815532966
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,OSF,9.800000000000011,7733.302588174585,0.15439093375077242
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,No Failure,9.800000000000011,5896.036372502204,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,No Failure,9.800000000000011,6733.312702585931,0.0013623978108828487
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,No Failure,9.800000000000011,6574.725105432719,0.0034722221981095683
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,No Failure,9.899999999999977,4718.4627261816295,0.004616272333431782
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,No Failure,9.800000000000011,5503.148795244264,0.006203473906926341
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,No Failure,9.900000000000034,6550.032187175502,0.010288065773058535
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,PWF,9.900000000000034,9348.950386087232,0.01395673402681972
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,No Failure,9.900000000000034,8157.019661339754,0.01669195738473477
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,No Failure,9.800000000000011,5900.958200992827,0.014906832205547626
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,No Failure,9.900000000000034,7777.494324835082,0.018467852130862845
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,No Failure,9.899999999999977,4190.800824084688,0.015072764994424299
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,No Failure,9.800000000000011,5614.727694324262,0.020113136265787954
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,No Failure,9.900000000000034,7973.341210859871,0.026799387237370697
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,No Failure,9.900000000000034,6295.437518528586,0.026772792859820604
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,No Failure,9.900000000000034,5879.4487632912505,0.024103831742250732
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,No Failure,10.0,4455.113486006709,0.020623742350987212
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,No Failure,10.0,7548.953931261938,0.029944289485067624
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,No Failure,10.100000000000023,6800.41712166661,0.03450920218934661
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,No Failure,10.100000000000023,7707.635776194758,0.03186440656363114
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,No Failure,10.100000000000023,4622.413766785878,0.026864034940438406
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,No Failure,10.099999999999966,6759.681136925063,0.040238449774676235
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,No Failure,10.099999999999966,6329.209639554677,0.03838383812536136
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,No Failure,10.0,5341.775652604869,0.035392921203401796
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,No Failure,10.0,5784.426057495672,0.042185338574098626
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,No Failure,10.199999999999989,7629.462478997932,0.04842428863624682
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,No Failure,10.199999999999989,6224.008173561467,0.04713560516942999
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,No Failure,10.199999999999989,5650.845537865032,0.04171855515741871
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,No Failure,10.099999999999966,6994.504715805387,0.04483430770088169
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,No Failure,10.199999999999989,7718.086807755699,0.04874746073969221
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,No Failure,10.199999999999989,6036.42367621562,0.044417766840229495
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,No Failure,10.199999999999989,7583.42767464733,0.05436337586292292
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,No Failure,10.199999999999989,6079.903318541303,0.04827175179814212
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,PWF,10.300000000000011,3000.7026950518025,0.032113517430494704
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,No Failure,10.199999999999989,6527.569799702335,0.06125258044561197
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,No Failure,10.300000000000011,7422.955121901963,0.06354748558975219
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,No Failure,10.200000000000045,6540.199002169767,0.06286836893995829
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,No Failure,10.300000000000011,5820.32398955069,0.06234256887693596
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,No Failure,10.200000000000045,7067.986567972852,0.07048150683543959
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,No Failure,10.200000000000045,5897.29300956364,0.06401491569909934
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,No Failure,10.199999999999989,6795.264909714722,0.06666666624338624
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,No Failure,10.100000000000023,6116.178241714753,0.06540342258310866
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,No Failure,10.100000000000023,5913.6292913623065,0.07382550286023153
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,No Failure,10.100000000000023,5980.000672157146,0.06433084397282686
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,No Failure,10.100000000000023,7459.397596683605,0.08482142794031676
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,No Failure,10.199999999999989,5947.8412353599,0.07271597220188955
